team,rank,barthag,adjoe,adjde,adjoe_z,adjde_z,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD,V38,V40,eFG%_z,eFG% Def_z,FTR_z,FTR Def_z,OR%_z,DR%_z,TO%_z,TO% Def._z,3P%_z,3pD%_z,2p%_z,2p%D_z,ft%_z,ft%D_z,3P rate_z,3P rate D_z,arate_z,arateD_z,V38_z,V40_z
Houston,1,0.958077551291859,121.187203452157,92.3180980933319,2.38270962166321,2.16657359400305,53.8,42.7,27.6,34.9,37.8,27.9,15.3,22.4,35.2,28,54.4,43.2,72.2,70,37.9,44.3,53.4,53.6,16.8,6.9,1.20214482031042,2.90042090643369,-0.884079467435105,-0.57760187213655,2.32127819933917,0.202911535049767,1.50422004020858,1.76025280252332,0.500533036383188,2.60867015635641,1.2878382126022,2.37905149752505,0.168879861837957,0.631840707030642,0.104666106065055,-1.66430154106488,0.504838761946132,-0.486395866498603,3.2430856524082,-1.2466712621639
Alabama,2,0.945448506341693,117.194285815709,91.4496361034922,1.77677085585075,2.30947375701634,52.8,42.1,38.2,33.5,33.2,27.3,19.1,16,33.9,28.4,54.6,41.9,72.8,70.6,47.4,30.9,53.6,42.4,11.2,11.5,0.84018515726075,3.1222998967822,1.41596175960803,-0.315116607520799,1.18480064780673,0.408561289976894,-0.402701312115396,-0.970395775750035,-0.0452191352185386,2.4366464919289,1.34876422213884,2.81997302830899,0.331704270462599,0.398436863761862,1.98652776803244,1.57143751966808,0.543904306731135,1.54138411179992,0.971204573693131,1.63975646046682
UCLA,3,0.943064420108643,114.303682765075,89.546067434889,1.33811205934403,2.62269445778716,51.2,46.9,26.4,27.2,34.6,27.6,15.7,24.1,34.9,31.1,50.7,47,71.8,70,28.7,39.5,51.1,51.6,11.9,6.3,0.261049696381278,1.34726797399408,-1.1444614931381,0.866067083250081,1.53068512001225,0.305736412513331,1.30349147680606,2.48558133112718,0.374590227552019,1.27548675704315,0.160707036174458,1.09020394600276,0.0603302560881928,0.631840707030642,-1.71776834552441,-0.505230832742626,0.0555849969186049,-0.124292298945296,1.25518970853251,-1.62316183468095
Tennessee,4,0.942805455857644,113.111485712182,88.6491859101703,1.15719212144164,2.77027088322126,50,41.7,31.2,35.7,37.1,27.6,17.9,22.7,32.6,25.5,50.8,44.1,70.8,72.4,39.9,41.6,66.6,49.6,12.2,8.8,-0.173301899278326,3.27021922368121,-0.102933390326116,-0.727593451916978,2.1483359632364,0.305736412513331,0.199484378092178,1.88825195462988,-0.590971306820262,3.6838180590284,0.191170040942774,2.07379813005924,-0.211043758286213,-0.301774666044487,0.500847508584504,-1.01232426763361,3.08316471775629,0.237811268608012,1.37689762346368,-0.0544511158599041
Connecticut,5,0.935026020695911,119.766605476004,94.9801309411173,2.16712907060737,1.72855220406805,53.3,45.1,32.3,39.3,39,26.1,18.7,19.6,35.6,29.7,53.1,45.4,75.8,73.6,41.6,29.2,62.5,40.3,13.1,8.6,1.02116498878558,2.01290494503962,0.135750133234965,-1.40255556092891,2.61775060408676,0.819860799831146,-0.201972748712871,0.565594049528728,0.66845678149141,1.87756958253946,0.891819150614077,1.6328765992753,1.14582631358582,-0.768582352582047,0.837601700726036,1.98194172886554,2.28232104966374,1.92159285773089,1.74202136825717,-0.179947973365588
Purdue,6,0.934232979786068,119.434734966762,94.8239112708236,2.11676659757664,1.75425720510669,52.3,47.1,36.8,18.6,38.5,23.3,17.3,15.5,32.7,31,54.3,47.4,74.7,73.1,38.1,35,60.1,50.6,10.1,8.7,0.659205325735915,1.27330831054458,1.1121827296212,2.4784765658897,2.49422043544193,1.77955965615773,0.500577223195965,-1.18372769592764,-0.548990370543205,1.31849267315003,1.25737520783388,0.954535782684623,0.847314897773972,-0.574079149858062,0.144284246317001,0.581397956309487,1.81353451224371,0.0567594848313579,0.524942218945527,-0.117199544612747
Saint Mary's,7,0.933523685935456,114.037984762391,90.6296998698608,1.29779148815171,2.44438930060629,52.8,45.9,30.2,29.9,33.3,21.7,16.3,19.3,36.8,32.2,51.4,44.8,69.5,75.6,37.4,32,48.2,35.1,10.2,9.7,0.84018515726075,1.71706629124161,-0.31991841174528,0.359845501491133,1.20950668153569,2.32795900263007,1.00239863170227,0.437594897422164,1.17222801681608,0.802421679867477,0.373948069552679,1.83637884425251,-0.56382997697294,-1.54659516347799,0.00562075543519329,1.3058171490109,-0.51086540246393,2.86306213336949,0.565511523922582,0.510284742915671
San Diego St.,8,0.92218681175681,115.41257949873,93.0855389411172,1.50639089186262,2.04029584836235,51.2,48.2,33.7,30.2,31.7,25.5,17.8,19.9,35.3,29.8,50.1,50.6,73.5,74.2,35.2,40.7,52,46.8,10.8,7.6,0.261049696381278,0.866530161572301,0.439529163221794,0.303598659073472,0.814210141872235,1.02551055475827,0.249666518942808,0.693593201635292,0.542513972660241,1.83456366643258,-0.0220709924354472,-0.130809523860462,0.521666080524684,-1.00198619585083,-0.430178787336199,-0.79499850982319,0.231379948451115,0.744756263182643,0.808927353784912,-0.807432260894006
Arizona,9,0.918663473271837,120.986412339892,97.9901931579216,2.35223889077666,1.23326468832897,56.5,47.3,36.6,25.9,31.3,26.3,18.4,17,37.8,32.8,56.4,46.2,71.7,71.2,38.2,38.5,65.7,48.9,8.5,9.3,2.17943591054452,1.19934864709507,1.06878572533737,1.10980340039328,0.715386006956371,0.751310881522104,-0.0514263261609775,-0.543731935394823,1.59203737958663,0.544386183226202,1.89709830796855,1.36154027263903,0.0331928546507538,0.165033020493077,0.164093316442974,-0.263757768508823,2.90736976622378,0.36454751725167,-0.12416666068735,0.259291027904305
Gonzaga,10,0.915017712000744,124.991383086687,101.655797933106,2.96000675687944,0.630111613071405,58.3,52.2,34,27.3,31.3,25.8,14.7,19,37.7,35.1,59.1,51.9,69.9,73.4,32.5,39.1,49.6,45.1,8.6,5.6,2.83096330403393,-0.6126631074178,0.504624669647542,0.847318135777528,0.715386006956371,0.922685677294709,1.80531288531237,0.3095957453156,1.55005644330958,-0.444749887232027,2.71959943671312,-0.571731054644402,-0.455280371223176,-0.690781071492457,-0.965023680737456,-0.408641607049105,-0.237406588968913,1.05254429560295,-0.0835973557102952,-2.06240083595084
Texas,11,0.912043137813701,117.127669577616,95.5726864086889,1.76666161624997,1.63105078903658,53.3,48.7,31.6,35.2,28.4,29.3,16.5,22.7,34.5,33.3,54.1,48,74.9,72.9,35.5,35.6,58.1,48.5,10.1,8.3,1.02116498878558,0.681631002948538,-0.0161393817584501,-0.63384871455421,-0.00108897118364586,-0.276937893113525,0.902034350001011,1.88825195462988,0.206666482443796,0.329356602691805,1.19644919829725,0.75103353770742,0.901589700648854,-0.496277868768472,-0.370751576958283,0.436514117769205,1.42287906439369,0.436968230762331,0.524942218945527,-0.368193259624113
Creighton,12,0.908503978791015,115.458393077834,94.566303008416,1.51334325755282,1.79664508520079,54.4,46.9,28,19.9,26,23,16.7,14.4,35.8,33.5,55,45.6,76,72.6,42,29.4,57.2,47.4,9.6,8.6,1.41932061814022,1.34726797399408,-0.797285458867439,2.2347402487465,-0.594033780678831,1.8823845336213,0.80167006829975,-1.65305792031837,0.752418654045519,0.243344770478045,1.47061624121211,1.56504251761623,1.2001011164607,-0.379575947134077,0.916837981229926,1.93364711601878,1.24708411286118,0.63612519291665,0.322095694060253,-0.179947973365588
